Model,Mean_ROC_AUC,Std_ROC_AUC,Mean_F1,Std_F1
Logistic Regression,0.9316935869389587,0.03234590728757485,0.9150645414578623,0.01744185794741796
Random Forest,0.8753725764010806,0.0747108260055164,0.907615418244123,0.018112940826129284
XGBoost,0.9152976299611622,0.05053217692194603,0.9153148772445302,0.02902793281220888
